1,100000000,359750,9.96e+07,359750,FALSE
2,80071950,-9595525,8.97e+07,368500,FALSE
3,66787750,-25081041,9.19e+07,381800,FALSE
4,60146536,-35870032,9.60e+07,385775,FALSE
5,60146536,-38737957,9.89e+07,395975,FALSE
6,40225731,-55932737,9.62e+07,401475,TRUE
7,388071,-73076222,7.35e+07,353175,TRUE
8,388071,-8794965,9.18e+06,353175,TRUE
9,388071,-632265,1.02e+06,353175,TRUE
10,388071,286037,1.02e+05,353175,TRUE
11,388071,370613,1.75e+04,357575,FALSE
12,388071,373763,1.43e+04,384700,FALSE
13,387225,374437,1.28e+04,383125,FALSE
14,382135,373726,8.41e+03,382675,FALSE
15,381565,376024,5.54e+03,373650,FALSE
16,379245,371783,7.46e+03,372975,FALSE
17,379245,378509,7.35e+02,377125,FALSE
18,379245,378361,8.83e+02,377625,FALSE
19,379245,379198,4.65e+01,377625,FALSE
20,379245,379242,2.32e+00,377625,FALSE
21,379245,379244,1.11e-01,377625,FALSE
22,379245,379244,5.03e-03,377625,FALSE
23,379245,379244,2.19e-04,377625,FALSE
24,379245,379244,9.11e-06,377625,FALSE
25,379245,379244,3.59e-07,377625,FALSE
