Iteration,Objective Function,Relative Gap,#Vertex,C0,C1,C2,C3,C4
1,1.0678e+08,2.3375e-01,2,6.5181e-01,3.4819e-01,0.0000e+00,0.0000e+00,0.0000e+00
2,1.0325e+08,6.1067e-02,3,4.6005e-01,1.7407e-01,3.6589e-01,0.0000e+00,0.0000e+00
3,1.0217e+08,2.6871e-02,4,3.1679e-01,1.4355e-01,3.9284e-01,1.4682e-01,0.0000e+00
4,1.0197e+08,1.6027e-02,5,3.2064e-01,8.8664e-02,2.6981e-01,1.0771e-01,2.1318e-01
5,1.0180e+08,1.4318e-02,5,5.8407e-01,6.2395e-03,1.5814e-01,3.8712e-08,2.5156e-01
6,1.0158e+08,1.2190e-02,4,7.7403e-01,3.1376e-03,1.6297e-09,4.8819e-02,1.7401e-01
7,1.0146e+08,9.2601e-03,5,6.9795e-01,1.6802e-08,5.1003e-02,3.8587e-02,2.1246e-01
8,1.0144e+08,8.8463e-03,3,8.7409e-01,1.5904e-02,2.9214e-09,1.7554e-09,1.1001e-01
9,1.0140e+08,6.1110e-03,4,4.9129e-01,1.4913e-02,2.2569e-01,0.0000e+00,2.6810e-01
10,1.0133e+08,5.4214e-03,5,3.1506e-01,2.1577e-02,2.9519e-01,1.2551e-01,2.4267e-01
11,1.0129e+08,5.0341e-03,4,7.2928e-01,1.9426e-08,6.0252e-09,1.1928e-01,1.5144e-01
12,1.0123e+08,3.5978e-03,5,5.3837e-01,2.3875e-02,1.1834e-01,1.1505e-01,2.0436e-01
13,1.0121e+08,1.5930e-03,5,9.3659e-01,6.6742e-03,1.5691e-03,2.3967e-02,3.1196e-02
14,1.0121e+08,1.2870e-03,5,8.3094e-01,1.5047e-03,5.5636e-02,2.8608e-02,8.3306e-02
15,1.0120e+08,1.1609e-03,5,8.2805e-01,1.1110e-02,4.6207e-02,4.2427e-02,7.2207e-02
16,1.0120e+08,8.5769e-04,5,8.7960e-01,1.1505e-03,3.9665e-02,2.0365e-02,5.9216e-02
17,1.0120e+08,7.7632e-04,5,9.4461e-01,3.6736e-03,1.4303e-02,1.3200e-02,2.4216e-02
18,1.0120e+08,5.9812e-04,5,9.6450e-01,3.7055e-03,1.5995e-02,1.3126e-05,1.5789e-02
19,1.0120e+08,5.6483e-04,5,9.1969e-01,5.2066e-03,2.3485e-02,1.7469e-02,3.4153e-02
20,1.0120e+08,5.5661e-04,5,9.0087e-01,8.9335e-04,3.2634e-02,1.6772e-02,4.8831e-02
21,1.0119e+08,5.3966e-04,5,9.0573e-01,6.1300e-03,2.5371e-02,2.3251e-02,3.9517e-02
22,1.0119e+08,4.7592e-04,-,-,-,-,-,-
