3,5,3 -> 6 -> 5,444.130435,false
3,5,3 -> 7 -> 14 -> 6 -> 5,803.260870,false
3,8,3 -> 2 -> 1 -> 4 -> 9 -> 8,809.000000,false
3,8,3 -> 6 -> 5 -> 10 -> 9 -> 8,809.130435,false
3,12,3 -> 2 -> 1 -> 4 -> 9 -> 12,816.000000,false
3,12,3 -> 6 -> 5 -> 10 -> 13 -> 12,820.822742,false
3,13,3 -> 6 -> 5 -> 10 -> 13,724.822742,false
3,13,3 -> 2 -> 1 -> 4 -> 9 -> 10 -> 13,921.384615,false
3,14,3 -> 6 -> 14,440.260870,false
3,14,3 -> 7 -> 14,440.260870,false
3,17,3 -> 6 -> 5 -> 10 -> 13 -> 17,873.613951,false
3,17,3 -> 6 -> 14 -> 18 -> 17,801.782609,false
3,18,3 -> 6 -> 14 -> 18,670.782609,false
3,18,3 -> 7 -> 14 -> 18,670.782609,false
3,19,3 -> 7 -> 19,538.347826,false
3,19,3 -> 6 -> 14 -> 18 -> 21 -> 24 -> 19,1073.304348,false
3,21,3 -> 6 -> 14 -> 18 -> 21,807.304348,false
3,21,3 -> 7 -> 19 -> 24 -> 21,807.304348,false
3,23,3 -> 7 -> 19 -> 24 -> 23,833.826087,false
3,23,3 -> 6 -> 14 -> 18 -> 21 -> 20 -> 23,1006.304348,false
11,5,11 -> 12 -> 13 -> 14 -> 6 -> 5,1015.769231,false
11,5,11 -> 8 -> 9 -> 4 -> 1 -> 2 -> 3 -> 6 -> 5,1085.515050,false
11,8,11 -> 8,142.692308,false
11,8,11 -> 12 -> 9 -> 8,502.670330,false
11,12,11 -> 12,268.670330,false
11,12,11 -> 8 -> 9 -> 12,381.384615,false
11,13,11 -> 12 -> 13,486.769231,false
11,13,11 -> 8 -> 9 -> 10 -> 13,486.769231,false
11,14,11 -> 12 -> 13 -> 14,652.769231,false
11,14,11 -> 8 -> 9 -> 4 -> 1 -> 2 -> 3 -> 6 -> 14,1081.645485,false
11,17,11 -> 12 -> 15 -> 16 -> 17,635.560440,false
11,17,11 -> 22 -> 16 -> 17,635.560440,false
11,18,11 -> 22 -> 16 -> 17 -> 18,766.560440,false
11,18,11 -> 12 -> 13 -> 14 -> 18,883.290970,false
11,19,11 -> 22 -> 23 -> 24 -> 19,823.637363,false
11,19,11 -> 12 -> 13 -> 14 -> 18 -> 21 -> 24 -> 19,1285.812709,false
11,21,11 -> 22 -> 23 -> 24 -> 21,765.115624,false
11,21,11 -> 22 -> 20 -> 21,648.598901,false
11,23,11 -> 22 -> 23,529.637363,false
11,23,11 -> 12 -> 13 -> 17 -> 20 -> 23,841.560440,false
